event_name,platform,issue_type,severity,description,owner,status,fix_version
claim_submitted,Android,trigger_timing,P0,Event fired on button tap instead of successful API response. Created duplicates on double tap.,Mobile Android,Fixed,v4.12
claim_submitted,iOS,trigger_timing,P0,Event fired on button tap instead of successful API response. Lower impact due to button debounce.,Mobile iOS,Fixed,v4.12
payment_completed,Android,missing_parameter,P0,transaction_id missing on 12.4% of events due to async payment callback timing.,Mobile Android,Fixed,v4.13
payment_completed,iOS,missing_parameter,P1,transaction_id missing on 2.1% of events during app backgrounding mid-payment.,Mobile iOS,In progress,v4.14
payment_completed,Android,event_duplication,P0,Event fired twice when the payment confirmation screen was recreated.,Mobile Android,Fixed,v4.13
login_success,Android,missing_parameter,P1,user_id missing on 8.3% of events because auth state was not available at event time.,Mobile Android,Fixed,v4.12
login_success,iOS,missing_parameter,P1,user_id missing on 1.9% of events due to similar auth timing issue.,Mobile iOS,Fixed,v4.12
onboarding_step_completed,Android,missing_parameter,P1,step_index missing on selected onboarding steps.,Mobile Android,Fixed,v4.12
onboarding_step_completed,iOS,approved,P2,Event implemented correctly and used as reference for Android fix.,Mobile iOS,No action,N/A
screen_view,both,event_duplication,P2,Duplicate screen_view events on tab re-selection.,Mobile Both,Backlog,v4.15
document_uploaded,Android,missing_implementation,P1,Event missing on Android. iOS implementation used as reference.,Mobile Android,Fixed,v4.13
document_uploaded,iOS,naming_inconsistency,P2,Event used camelCase name documentUploaded instead of document_uploaded.,Mobile iOS,Fixed,v4.13
notification_opened,Android,naming_inconsistency,P2,Deprecated event notif_clicked used instead of notification_opened.,CRM,Fixed,v4.12
notification_opened,iOS,naming_inconsistency,P2,Deprecated event notif_clicked used instead of notification_opened.,CRM,Fixed,v4.12
claim_draft_saved,Android,pre_consent_tracking,P0,Custom event fired before analytics consent state was available.,Mobile Android,Fixed,v4.11
claim_draft_saved,iOS,pre_consent_tracking,P0,Custom event fired before analytics consent state was available.,Mobile iOS,Fixed,v4.11
app_open,Android,pre_consent_tracking,P0,Auto-collected event fired before consent defaults were applied.,Mobile Android,Fixed,v4.11
app_open,iOS,pre_consent_tracking,P0,Auto-collected event fired before consent defaults were applied.,Mobile iOS,Fixed,v4.11
session_start,both,pre_consent_tracking,P1,Auto-collected event fired before consent state was confirmed. Privacy review pending.,Privacy,Under review,TBD
error_occurred,Android,naming_inconsistency,P2,error_type used free-text values instead of approved enum.,Mobile Android,Fixed,v4.13
error_occurred,iOS,naming_inconsistency,P2,error_type values differed from Android enum.,Mobile iOS,Fixed,v4.13
purchase_initiated,Android,missing_implementation,P1,Event missing on Android. Broke Android top-of-funnel reporting.,Mobile Android,Fixed,v4.13
purchase_initiated,iOS,approved,P1,Event implemented correctly and used as baseline for Android remediation.,Mobile iOS,No action,N/A
filter_applied,both,trigger_timing,P2,Event fired on every filter interaction instead of filter confirmation.,Product,Fixed,v4.14
logout,Android,missing_parameter,P2,user_id cleared before logout event fired.,Mobile Android,Fixed,v4.13
logout,iOS,approved,P2,user_id captured correctly before clearance.,Mobile iOS,No action,N/A
