event_name,category,priority,platforms,trigger,owner,added_version,deprecated
app_open,engagement,P0,iOS|Android,Firebase auto-collected,Firebase,auto,false
session_start,engagement,P0,iOS|Android,Firebase auto-collected. Privacy status under review,Firebase,auto,false
first_open,acquisition,P0,iOS|Android,Firebase auto-collected,Firebase,auto,false
screen_view,engagement,P2,iOS|Android,Firebase auto-collected,Firebase,auto,false
login_started,auth,P1,iOS|Android,User taps login CTA,Product,v4.10,false
login_success,auth,P0,iOS|Android,Auth API returns success with valid token,Product,v4.10,false
login_failed,auth,P1,iOS|Android,Auth API returns error or network timeout,Product,v4.10,false
logout,auth,P1,iOS|Android,User confirms logout before user_id is cleared,Product,v4.10,false
signup_started,acquisition,P1,iOS|Android,User taps create account CTA,Growth,v4.10,false
signup_completed,acquisition,P0,iOS|Android,Account creation API returns success,Growth,v4.10,false
onboarding_started,acquisition,P1,iOS|Android,First onboarding screen is rendered after signup,Growth,v4.10,false
onboarding_step_completed,acquisition,P1,iOS|Android,User completes an onboarding step,Growth,v4.11,false
onboarding_completed,acquisition,P0,iOS|Android,Final onboarding step is confirmed,Growth,v4.10,false
claim_started,conversion,P0,iOS|Android,User opens a new claim form,Product,v4.10,false
claim_step_completed,conversion,P1,iOS|Android,User completes a claim flow step,Product,v4.11,false
claim_submitted,conversion,P0,iOS|Android,Claim submission API returns 202 Accepted,Product,v4.12,false
claim_approved,conversion,P0,iOS|Android,Claim approval is confirmed by backend,Product,v4.12,false
claim_rejected,conversion,P1,iOS|Android,Claim rejection is confirmed by backend,Product,v4.12,false
document_uploaded,conversion,P1,iOS|Android,Document upload API returns success,Product,v4.13,false
document_upload_failed,conversion,P2,iOS|Android,Document upload API returns error or timeout,Product,v4.13,false
purchase_initiated,revenue,P0,iOS|Android,User starts the payment flow,Sales Operations,v4.13,false
payment_method_selected,revenue,P1,iOS|Android,User selects or confirms a payment method,Sales Operations,v4.13,false
payment_completed,revenue,P0,iOS|Android,Payment is confirmed and transaction_id is available,Sales Operations,v4.13,false
payment_failed,revenue,P0,iOS|Android,Payment provider returns failure with error_code,Sales Operations,v4.13,false
payment_refunded,revenue,P0,iOS|Android,Refund is confirmed by payment provider,Sales Operations,v4.14,false
notification_opened,marketing,P1,iOS|Android,User opens a push notification,CRM,v4.12,false
notification_dismissed,marketing,P2,iOS,User dismisses a push notification,CRM,v4.12,false
in_app_message_viewed,marketing,P2,iOS|Android,In-app message is rendered on screen,CRM,v4.14,false
in_app_message_clicked,marketing,P1,iOS|Android,User taps CTA inside an in-app message,CRM,v4.14,false
filter_applied,engagement,P2,iOS|Android,User applies selected filters,Product,v4.14,false
search_performed,engagement,P2,iOS|Android,User submits a search query,Product,v4.14,false
error_occurred,quality,P1,iOS|Android,Unhandled exception or critical error state occurs,Engineering,v4.13,false
consent_granted,privacy,P0,iOS|Android,User grants analytics consent through CMP,Privacy,v4.11,false
consent_declined,privacy,P0,iOS|Android,User declines analytics consent through CMP,Privacy,v4.11,false
consent_updated,privacy,P0,iOS|Android,User updates consent preferences,Privacy,v4.11,false
submit_claim,conversion,P0,iOS|Android,Deprecated. Replaced by claim_submitted,Product,v4.0,true
notif_clicked,marketing,P1,Android,Deprecated. Replaced by notification_opened,CRM,v4.1,true
documentUploaded,conversion,P1,iOS,Deprecated. Replaced by document_uploaded,Product,v4.0,true
